table_family,table_name,schema,column_count,granularity,time_felds,spatial_fields,Metric_fields,Categorical_fields,benchmark_use,example_question,query_logic,review_notes
Raw V2X message stream,bsm,alexandria,37,Per vehicle message / high-frequency telemetry,"publish_timestamp, sec_mark","intersection, location_name, lat, lon, accel_lon, accel_lat","elev, speed, heading, accel_lon, accel_lat, accel_vert, accel_yaw, size_width, +1 more","source_type, vendor_name, vendor_version, transmission, brake_applied_status, traction_control_status, anti_lock_brake_status, stability_control_status, +3 more",Raw vehicle trajectory/message analysis and schema-reasoning stress tests.,Which intersections have the largest number of raw vehicle messages in a selected period?,Filter message time/location → GROUP BY intersection/message category → COUNT messages or summarize telemetry fields.,Raw high-frequency data; coded SAE fields and publish_timestamp/sec_mark interpretation are nontrivial.
High-resolution intersection events,hiresdata,alexandria,13,Per high-resolution intersection event,"publish_timestamp, event_timestamp","intersection_id, intersection, intersection_name, intersection_lat, intersection_long",Needs manual review,event_code,High-resolution event-code analysis at intersections.,What are the most common high-resolution event codes by intersection?,Filter event time → GROUP BY intersection/event/category → COUNT records or summarize severity/indicator.,event_code/event_param must be documented; event_timestamp vs publish_timestamp may differ.
Raw perception/object stream,lidar-object,alexandria,51,Per detected object/frame,"publish_timestamp, frame_timestamp, update_ts","intersection, distance_to_primary_sensor, initial_position_x, initial_position_y, initial_position_z, num_points_from_primary_sensor, position_x, position_y, +5 more","perception_frame_count, classification_confidence, length, width, height, distance_to_primary_sensor, frame_count, heading, +5 more","classification, classification_confidence, classification_ts, sub_classification, sub_classification_confidence, sub_classification_ts, user_defined_classification, user_defined_classification_ts",Object classification and perception-frame analysis.,What object classifications are most common at each monitored intersection?,"Filter frame/publish time → GROUP BY intersection/classification → COUNT objects, optionally confidence filtering.",Coordinate-frame fields and classification confidence require sensor-context interpretation.
Raw V2X message stream,psm,alexandria,30,Per VRU message / high-frequency telemetry,"publish_timestamp, sec_mark","intersection, location_name, lat, lon, accel_lon, accel_lat","elev, speed, heading, accel_lon, accel_lat, accel_vert, accel_yaw","source_type, vendor_name, vendor_version, basic_type, event_responder_type, activity_type, activity_sub_type",Raw VRU trajectory/message analysis and schema-reasoning stress tests.,Which intersections have the largest number of raw VRU messages in a selected period?,Filter message time/location → GROUP BY intersection/message category → COUNT messages or summarize telemetry fields.,Coded VRU activity/basic_type fields require dictionaries; not an aggregate count table.
Derived safety event analytics,safety-conflicts,alexandria,21,Per conflict record,"publish_timestamp, date_time_local","intersection_id, intersection, intersection_name, intersection_lat, intersection_long","indicator_value, severity_level, conflict_speed, leading_road_user_speed, lagging_road_user_speed","indicator_type, configuration, leading_road_user_type, lagging_road_user_type",Conflict severity/type summaries and road-user conflict analysis.,Which intersections had the highest number of severe conflict records?,Filter event time → GROUP BY intersection/event/category → COUNT records or summarize severity/indicator.,indicator_type/value definitions may require a value dictionary; conflict metrics may not be risk by themselves.
Derived safety event analytics,safety-event,alexandria,15,Per safety event,"time_at_site, publish_timestamp","direction, intersection",Needs manual review,"event_type, movement, object1_class, object2_class","Safety-event type counts, object-class interactions, movement/direction summaries.",What are the most common safety-event types by intersection?,Filter event time → GROUP BY intersection/event/category → COUNT records or summarize severity/indicator.,Event_type and object classes need categorical definitions; rows may be camera/detection-area scoped.
Derived safety/operational aggregates,safety-pedcompliance,alexandria,17,Aggregated bin by crosswalk/direction/classification,"publish_timestamp, bin_start_date_time, bin_end_date_time","intersection_id, intersection, intersection_name, intersection_lat, intersection_long, direction, crosswalk_approach","yellow_light_runners, red_light_runners",classification,Pedestrian compliance/violation summaries at crosswalks.,Which crosswalk approaches had the highest pedestrian non-compliance counts?,Filter bin_start/end → GROUP BY intersection + movement/crosswalk/classification → SUM(runner/count fields).,Interpret classification and runner fields; crosswalk_approach may not equal intersection-level location.
Derived safety/operational aggregates,safety-redlightrunners,alexandria,18,Aggregated bin by direction/movement/classification,"publish_timestamp, bin_start_date_time, bin_end_date_time","intersection_id, intersection, intersection_name, intersection_lat, intersection_long, direction","yellow_light_runners, red_light_runners","track_movement, phase_movement, classification","Red/yellow-light runner summaries by intersection, direction, phase, movement.",How many red-light-running events were recorded at each intersection last month?,Filter bin_start/end → GROUP BY intersection + movement/crosswalk/classification → SUM(runner/count fields).,Use runner fields as metrics; avoid counting rows when bins already contain counts.
Derived safety/operational aggregates,safety-simpledelay,alexandria,17,Aggregated delay bin by street/direction/movement,"publish_timestamp, bin_start_date_time, bin_end_date_time","intersection_id, intersection, intersection_name, intersection_lat, intersection_long, direction","median_delay, average_delay","street_name, movement","Delay comparison by intersection, street, direction, movement.",Which movements had the highest average delay during the evening peak?,Filter bin_start/end → GROUP BY intersection/movement → AVG(average_delay) or median-aware summary.,Average/median delay fields require careful aggregation; do not sum delays blindly.
Speed summaries,speed-distribution,alexandria,11,Time-windowed speed histogram bin,"publish_timestamp, start_timestamp, end_timestamp","approach, intersection","speed_interval, count",Needs manual review,"Speed histogram analysis by intersection, approach, and time window.",What was the speed distribution by approach during the evening peak?,Filter start/end → GROUP BY intersection/approach/speed_interval → SUM(count); weighted speed summary if bins defined.,Speed_interval is a bin; compute weighted summaries using count when needed.
TMC operational counts,tmc,alexandria,15,Operational count record by entrance/exit/class,"publish_timestamp, event_timestamp","intersection_id, intersection, intersection_name, intersection_lat, intersection_long, entrance, exit",qty,class,Operational vehicle/person counts by entrance/exit/class.,What were the total TMC counts by entrance and exit at each intersection?,Filter event_timestamp → GROUP BY intersection + operational fields → SUM(qty).,TMC fields may not align directly with aggregate count tables; entrance/exit semantics matter.
TMC operational counts,tmc-crosswalk,alexandria,15,Operational crosswalk count record,"publish_timestamp, event_timestamp","intersection_id, intersection, intersection_name, intersection_lat, intersection_long, crosswalk_side, direction",qty,class,Crosswalk-specific operational counts.,Which crosswalk sides had the highest pedestrian crossing counts?,Filter event_timestamp → GROUP BY intersection + operational fields → SUM(qty).,Use crosswalk_side and direction; do not mix with lane-level records without alignment.
TMC operational counts,tmc-lanes,alexandria,16,Lane-level operational count record,"publish_timestamp, event_timestamp","intersection_id, intersection, intersection_name, intersection_lat, intersection_long, entrance, exit, lane_id",qty,class,"Lane-level operational counts by lane_id, entrance, exit, class.",Which lanes had the highest operational counts during peak periods?,Filter event_timestamp → GROUP BY intersection + operational fields → SUM(qty).,Preserve lane granularity; aggregate carefully when moving to intersection level.
Aggregate volume counts,vehicle-count,alexandria,14,Fixed interval aggregate by approach/movement/class,"date, time_interval, publish_timestamp, interval_start_timestamp, interval_end_timestamp","approach, intersection",count,"class, movement",Vehicle volume ranking/trends; peak-period comparisons; approach/movement summaries.,Which intersections had the highest vehicle volume during weekday morning peak?,Filter time window → GROUP BY intersection/approach/class → SUM(count) → rank/compare.,"Use SUM(count), not COUNT(*). Check interval_start/end and movement/class filters."
Aggregate volume counts,vru-count,alexandria,13,Fixed interval aggregate by approach/class,"date, time_interval, publish_timestamp, interval_start_timestamp, interval_end_timestamp","approach, intersection",count,class,Pedestrian/VRU activity ranking/trends; exposure measure for safety analyses.,Which intersections had the highest VRU activity during the evening peak?,Filter time window → GROUP BY intersection/approach/class → SUM(count) → rank/compare.,Use SUM(count). Confirm whether class separates pedestrian/bicycle/scooter categories.
